Date,Open,High,Low,Close,Adj Close,Volume
2015-01-30,4.706670,4.763330,4.643330,4.643330,2.822041,642600
2015-02-02,4.630000,4.716670,4.613330,4.633330,2.815963,1695300
2015-02-03,4.640000,4.753330,4.620000,4.636670,2.817993,2608200
2015-02-04,4.656670,4.696670,4.616670,4.640000,2.820017,1297200
2015-02-05,4.650000,4.706670,4.586670,4.600000,2.795706,6455100
2015-02-06,4.616670,4.643330,4.553330,4.616670,2.805837,1084200
2015-02-09,4.633330,4.786670,4.573330,4.776670,2.903079,3961800
2015-02-10,4.786670,4.870000,4.703330,4.800000,2.917259,1335900
2015-02-11,4.796670,4.826670,4.606670,4.616670,2.805837,588000
2015-02-12,4.643330,4.740000,4.616670,4.633330,2.815963,736200
2015-02-13,4.733330,5.170000,4.733330,5.100000,3.099587,1979100
2015-02-18,5.176670,5.316670,5.110000,5.190000,3.154286,1931700
2015-02-19,5.190000,5.290000,5.113330,5.250000,3.190752,1820700
2015-02-20,5.253330,5.303330,5.083330,5.110000,3.105664,724200
2015-02-23,5.133330,5.183330,5.090000,5.113330,3.107688,665100
2015-02-24,5.123330,5.246670,5.106670,5.233330,3.180620,1260600
2015-02-25,5.240000,5.406670,5.173330,5.383330,3.271784,1097400
2015-02-26,5.383330,5.603330,5.360000,5.540000,3.367003,1544100
2015-02-27,5.590000,5.590000,5.370000,5.436670,3.304202,2051700
2015-03-02,5.443330,5.516670,5.350000,5.416670,3.292047,538500
2015-03-03,5.413330,5.496670,5.310000,5.480000,3.330537,517500
2015-03-04,5.423330,5.523330,5.266670,5.523330,3.356871,5004600
2015-03-05,5.600000,5.640000,5.523330,5.566670,3.383211,777600
2015-03-06,5.536670,5.606670,5.450000,5.533330,3.362949,531000
2015-03-09,5.500000,5.566670,5.423330,5.533330,3.362949,663000
2015-03-10,5.500000,5.600000,5.436670,5.436670,3.304202,893400
2015-03-11,5.376670,5.640000,5.360000,5.640000,3.427778,774900
2015-03-12,5.640000,5.816670,5.616670,5.773330,3.508812,826800
2015-03-13,5.776670,6.003330,5.576670,6.000000,3.646573,2188800
2015-03-16,6.000000,6.000000,5.676670,5.690000,3.458166,831300
2015-03-17,5.670000,5.740000,5.590000,5.690000,3.458166,651900
2015-03-18,5.673330,5.960000,5.653330,5.886670,3.577695,817200
2015-03-19,5.880000,5.990000,5.760000,5.800000,3.525020,252000
2015-03-20,5.826670,5.876670,5.730000,5.763330,3.502734,662100
2015-03-23,5.676670,5.876670,5.676670,5.820000,3.537177,454800
2015-03-24,5.836670,5.863330,5.760000,5.760000,3.500710,226200
2015-03-25,5.766670,5.833330,5.673330,5.833330,3.545278,1266600
2015-03-26,5.800000,5.800000,5.666670,5.683330,3.454113,340200
2015-03-27,5.700000,5.746670,5.616670,5.616670,3.413599,750600
2015-03-30,5.536670,5.750000,5.526670,5.560000,3.379157,1002000
2015-03-31,5.566670,5.700000,5.450000,5.450000,3.312304,1511100
2015-04-01,5.500000,5.646670,5.500000,5.603330,3.405492,879300
2015-04-02,5.600000,5.713330,5.530000,5.530000,3.360924,529800
2015-04-06,5.536670,5.626670,5.536670,5.600000,3.403469,652500
2015-04-07,5.600000,5.683330,5.560000,5.646670,3.431832,547500
2015-04-08,5.660000,5.760000,5.636670,5.666670,3.443987,603300
2015-04-09,5.676670,5.700000,5.600000,5.633330,3.423725,608400
2015-04-10,5.573330,5.603330,5.520000,5.603330,3.608892,431400
2015-04-13,5.603330,5.623330,5.526670,5.533330,3.563807,439200
2015-04-14,5.583330,5.620000,5.556670,5.600000,3.606747,532200
2015-04-15,5.606670,5.650000,5.583330,5.616670,3.617483,610500
2015-04-16,5.616670,5.633330,5.526670,5.526670,3.559518,812100
2015-04-17,5.550000,5.626670,5.416670,5.596670,3.604602,433500
2015-04-20,5.580000,5.633330,5.553330,5.633330,3.628213,606300
2015-04-22,5.643330,5.646670,5.600000,5.633330,3.628213,921000
2015-04-23,5.633330,5.796670,5.553330,5.760000,3.709797,1071900
2015-04-24,5.883330,6.183330,5.866670,6.030000,3.883694,4176300
